STATION,STATION_NAME,DATE,TMAX,TMIN,TOBS
GHCND:USC00312515,DURHAM NC US,20100101,56,6,39
GHCND:USC00312515,DURHAM NC US,20100102,78,-56,-50
GHCND:USC00312515,DURHAM NC US,20100103,-17,-100,-94
GHCND:USC00312515,DURHAM NC US,20100104,6,-94,-72
GHCND:USC00312515,DURHAM NC US,20100105,6,-94,-72
GHCND:USC00312515,DURHAM NC US,20100106,6,-94,-50
GHCND:USC00312515,DURHAM NC US,20100107,28,-94,-61
GHCND:USC00312515,DURHAM NC US,20100108,67,-94,-11
GHCND:USC00312515,DURHAM NC US,20100109,67,-94,6
GHCND:USC00312515,DURHAM NC US,20100110,17,-72,-67
GHCND:USC00312515,DURHAM NC US,20100111,50,-89,0
GHCND:USC00312515,DURHAM NC US,20100112,22,-56,-56
GHCND:USC00312515,DURHAM NC US,20100113,72,-56,-44
GHCND:USC00312515,DURHAM NC US,20100114,-39,-56,-44
GHCND:USC00312515,DURHAM NC US,20100115,117,-44,-28
GHCND:USC00312515,DURHAM NC US,20100116,150,-33,-11
GHCND:USC00312515,DURHAM NC US,20100117,100,-11,94
GHCND:USC00312515,DURHAM NC US,20100118,172,11,17
GHCND:USC00312515,DURHAM NC US,20100119,156,-11,39
GHCND:USC00312515,DURHAM NC US,20100120,100,-11,94
GHCND:USC00312515,DURHAM NC US,20100121,178,22,28
GHCND:USC00312515,DURHAM NC US,20100122,172,11,17
GHCND:USC00312515,DURHAM NC US,20100123,189,6,22
GHCND:USC00312515,DURHAM NC US,20100124,206,11,39
GHCND:USC00312515,DURHAM NC US,20100125,178,28,50
GHCND:USC00312515,DURHAM NC US,20100126,178,-11,72
GHCND:USC00312515,DURHAM NC US,20100127,83,-28,44
GHCND:USC00312515,DURHAM NC US,20100128,144,-6,0
GHCND:USC00312515,DURHAM NC US,20100129,144,-6,0
GHCND:USC00312515,DURHAM NC US,20100130,0,-72,-72
GHCND:USC00312515,DURHAM NC US,20100131,-61,-100,-94
GHCND:USC00312515,DURHAM NC US,20100201,17,-111,-28
GHCND:USC00312515,DURHAM NC US,20100202,72,-111,-6
GHCND:USC00312515,DURHAM NC US,20100203,83,-11,0
GHCND:USC00312515,DURHAM NC US,20100204,94,-6,-9999
GHCND:USC00312515,DURHAM NC US,20100205,89,6,33
GHCND:USC00312515,DURHAM NC US,20100206,78,-6,11
GHCND:USC00312515,DURHAM NC US,20100207,106,0,28
GHCND:USC00312515,DURHAM NC US,20100208,117,0,28
GHCND:USC00312515,DURHAM NC US,20100209,133,-6,17
GHCND:USC00312515,DURHAM NC US,20100210,44,-39,-33
GHCND:USC00312515,DURHAM NC US,20100211,56,-39,-17
GHCND:USC00312515,DURHAM NC US,20100212,22,-22,-17
GHCND:USC00312515,DURHAM NC US,20100213,22,-22,-17
GHCND:USC00312515,DURHAM NC US,20100214,44,-50,-22
GHCND:USC00312515,DURHAM NC US,20100215,61,-33,11
GHCND:USC00312515,DURHAM NC US,20100216,67,-33,-22
GHCND:USC00312515,DURHAM NC US,20100217,22,-50,-22
GHCND:USC00312515,DURHAM NC US,20100218,28,-44,-22
GHCND:USC00312515,DURHAM NC US,20100219,78,-44,0
GHCND:USC00312515,DURHAM NC US,20100220,128,-44,-17
GHCND:USC00312515,DURHAM NC US,20100221,128,-44,-17
GHCND:USC00312515,DURHAM NC US,20100222,167,-39,39
GHCND:USC00312515,DURHAM NC US,20100223,156,-44,-22
GHCND:USC00312515,DURHAM NC US,20100224,111,-22,-6
GHCND:USC00312515,DURHAM NC US,20100225,39,-17,-17
GHCND:USC00312515,DURHAM NC US,20100226,39,-17,39
GHCND:USC00312515,DURHAM NC US,20100227,78,-22,-17
GHCND:USC00312515,DURHAM NC US,20100228,78,-22,-17
GHCND:USC00312515,DURHAM NC US,20100301,94,-22,11
GHCND:USC00312515,DURHAM NC US,20100302,100,6,17
GHCND:USC00312515,DURHAM NC US,20100303,50,0,11
GHCND:USC00312515,DURHAM NC US,20100304,56,6,11
GHCND:USC00312515,DURHAM NC US,20100305,67,-28,17
GHCND:USC00312515,DURHAM NC US,20100306,106,-28,100
GHCND:USC00312515,DURHAM NC US,20100307,100,-33,11
GHCND:USC00312515,DURHAM NC US,20100308,156,-39,144
GHCND:USC00312515,DURHAM NC US,20100309,211,6,111
GHCND:USC00312515,DURHAM NC US,20100310,217,6,100
GHCND:USC00312515,DURHAM NC US,20100311,206,100,144
GHCND:USC00312515,DURHAM NC US,20100312,194,89,111
GHCND:USC00312515,DURHAM NC US,20100313,183,61,67
GHCND:USC00312515,DURHAM NC US,20100314,178,50,78
GHCND:USC00312515,DURHAM NC US,20100315,156,44,67
GHCND:USC00312515,DURHAM NC US,20100316,161,44,83
GHCND:USC00312515,DURHAM NC US,20100317,106,11,17
GHCND:USC00312515,DURHAM NC US,20100318,167,11,78
GHCND:USC00312515,DURHAM NC US,20100319,156,33,39
GHCND:USC00312515,DURHAM NC US,20100320,178,39,67
GHCND:USC00312515,DURHAM NC US,20100321,161,6,6
GHCND:USC00312515,DURHAM NC US,20100322,183,-6,17
GHCND:USC00312515,DURHAM NC US,20100323,172,17,161
GHCND:USC00312515,DURHAM NC US,20100324,156,28,33
GHCND:USC00312515,DURHAM NC US,20100325,167,33,100
GHCND:USC00312515,DURHAM NC US,20100326,217,33,61
GHCND:USC00312515,DURHAM NC US,20100327,228,-6,0
GHCND:USC00312515,DURHAM NC US,20100328,244,0,89
GHCND:USC00312515,DURHAM NC US,20100329,144,0,33
GHCND:USC00312515,DURHAM NC US,20100330,178,0,100
GHCND:USC00312515,DURHAM NC US,20100331,200,67,72
GHCND:USC00312515,DURHAM NC US,20100401,233,61,72
GHCND:USC00312515,DURHAM NC US,20100402,283,67,78
GHCND:USC00312515,DURHAM NC US,20100403,300,78,111
GHCND:USC00312515,DURHAM NC US,20100404,289,78,111
GHCND:USC00312515,DURHAM NC US,20100405,294,111,294
GHCND:USC00312515,DURHAM NC US,20100406,317,156,200
GHCND:USC00312515,DURHAM NC US,20100407,317,111,156
GHCND:USC00312515,DURHAM NC US,20100408,300,89,94
GHCND:USC00312515,DURHAM NC US,20100409,244,33,67
GHCND:USC00312515,DURHAM NC US,20100410,200,33,172
GHCND:USC00312515,DURHAM NC US,20100411,211,44,78
GHCND:USC00312515,DURHAM NC US,20100412,239,67,94
GHCND:USC00312515,DURHAM NC US,20100413,244,61,94
GHCND:USC00312515,DURHAM NC US,20100414,256,61,89
GHCND:USC00312515,DURHAM NC US,20100415,122,39,50
GHCND:USC00312515,DURHAM NC US,20100416,233,50,122
GHCND:USC00312515,DURHAM NC US,20100417,294,122,161
GHCND:USC00312515,DURHAM NC US,20100418,239,39,78
GHCND:USC00312515,DURHAM NC US,20100419,217,28,67
GHCND:USC00312515,DURHAM NC US,20100420,183,33,67
GHCND:USC00312515,DURHAM NC US,20100421,189,39,67
GHCND:USC00312515,DURHAM NC US,20100422,200,67,89
GHCND:USC00312515,DURHAM NC US,20100423,228,89,156
GHCND:USC00312515,DURHAM NC US,20100424,239,89,150
GHCND:USC00312515,DURHAM NC US,20100425,261,144,189
GHCND:USC00312515,DURHAM NC US,20100426,261,111,117
GHCND:USC00312515,DURHAM NC US,20100427,183,50,61
